class,rank,token,mean_abs_shap
0,1,tariff,0.03437105119786482
0,2,shares,0.03405466811027789
0,3,stocks,0.031393672047346
0,4,losses,0.02707923784454255
0,5,futures,0.027070365628277363
0,6,nvidia,0.02647434087438601
0,7,tariffs,0.025568636202288407
0,8,market,0.025276703333582267
0,9,trade,0.022200740698389832
0,10,energy,0.021653364894076623
0,11,lower,0.020811548303796727
0,12,day,0.020676572023064107
0,13,500,0.020277572645049858
0,14,war,0.020170674790368905
0,15,trump,0.019422931073329153
0,16,ai,0.018759851155821683
0,17,2025,0.018719884695013903
0,18,uncertainty,0.018491760444639755
0,19,buy,0.018202761527971338
0,20,media,0.01560816913705022
0,21,nasdaq,0.014442892245687795
0,22,amid,0.013744123867253183
0,23,trade war,0.013539275771887786
0,24,major,0.0135288054534263
0,25,investors,0.013481769959607443
0,26,ahead,0.012441024387503283
0,27,worst,0.01188364120629805
0,28,oil,0.011529410573014875
0,29,year,0.011187089687379423
0,30,trading,0.011113889527197081
0,31,strong,0.010622522434629479
0,32,dow,0.010378988257595655
0,33,dollar,0.010103403461813898
0,34,recently,0.010004725743168833
0,35,news,0.009943663386801712
0,36,growth,0.00992996634474249
0,37,trillion,0.009764212977272816
0,38,drops,0.009759368308793755
0,39,2024,0.009751362942174685
0,40,announces,0.00966615225958325
0,41,session,0.009575237458894851
0,42,sell,0.008947396709149565
0,43,concerns,0.008852685977196966
0,44,earnings,0.008606529908855411
0,45,stock market,0.008597550097689562
0,46,markets,0.008511410253399024
0,47,economy,0.008486119606885221
0,48,com,0.008242001426743546
0,49,company,0.008142983154253986
0,50,falling,0.00812418209626549
0,51,tensions,0.00802986148425205
0,52,gains,0.0076371779758773245
0,53,stock,0.007380970666266047
0,54,friday,0.007359762817156157
0,55,drop,0.0073576041421802175
0,56,years,0.007156274043520011
0,57,micro,0.006993351107427744
0,58,week,0.006927739621987885
0,59,billion,0.006758275085086633
0,60,jim cramer,0.006629774922929987
0,61,declines,0.006627483112646568
0,62,jim,0.0065497918058672186
0,63,law,0.006531164645697277
0,64,long,0.006505975449244332
0,65,conference,0.0064715148888784685
0,66,fears,0.00642429774459624
0,67,fed,0.006422986973784199
0,68,inflation,0.006351029263403089
0,69,stocks buy,0.006301749444332271
0,70,best,0.006296811051478794
0,71,know,0.006219517132876929
0,72,article,0.006026207676810117
0,73,investing,0.0060074632973321045
0,74,recession,0.005990045755083683
0,75,high,0.005936112301879605
0,76,hold,0.005909327334932839
0,77,offering,0.0058548357493064035
0,78,trump tariffs,0.005847200321948362
0,79,economic,0.005826501195267045
0,80,technologies,0.00579830768792622
0,81,mixed,0.005797339620533718
0,82,announced,0.005755142313751237
0,83,analysis,0.005548980288299617
0,84,10,0.005482352323577372
0,85,quarter,0.005405796791411143
0,86,tech stocks,0.005373439440294255
0,87,nvidia stock,0.00530571334153369
0,88,indexes,0.005282981128458251
0,89,optimism,0.005277920113521867
0,90,gold,0.005272411080016204
0,91,positive,0.005235721861547012
0,92,semiconductor,0.005224614133056046
0,93,cramer,0.005102844271771112
0,94,trading day,0.005052453095809166
0,95,stock news,0.005019653703176798
0,96,middle,0.0050143522312451035
0,97,dividend,0.004998772710536288
0,98,list,0.004825339172198494
0,99,east,0.0047073182531747765
0,100,middle east,0.0047073182531747765
1,1,2025,0.051367479686729896
1,2,shares,0.039950823803555885
1,3,energy,0.039769213281918715
1,4,ai,0.03909156170639618
1,5,nvidia,0.03894047806452825
1,6,stock,0.03414323829838564
1,7,earnings,0.032600270725135334
1,8,market,0.03067231745214297
1,9,media,0.029756645758589884
1,10,500,0.0250005215169399
1,11,stocks,0.024578327226241616
1,12,tech,0.02443992305645208
1,13,gains,0.023917604305519775
1,14,growth,0.02329504523803701
1,15,futures,0.021545172388636624
1,16,amid,0.01829020905930324
1,17,announces,0.01714929429630588
1,18,trade,0.016517768256873525
1,19,trading,0.015878555474381224
1,20,tariff,0.015027641632311435
1,21,best,0.014005658933131982
1,22,amd,0.013792062126707702
1,23,markets,0.013636197474604457
1,24,strong,0.01363068034832162
1,25,losses,0.012380993633008756
1,26,week,0.012269254688665953
1,27,know,0.011584067716101869
1,28,micro,0.010963353056300647
1,29,investing,0.01075029252917654
1,30,results,0.010680196867429334
1,31,conference,0.009989208899164674
1,32,investors,0.009832590069550803
1,33,cramer,0.009487078973787706
1,34,war,0.009404022898578874
1,35,major,0.00939755977610792
1,36,day,0.009142082743338636
1,37,offering,0.008886442235378543
1,38,uncertainty,0.008722860369412715
1,39,lower,0.008719212208080217
1,40,recently,0.008638034313055494
1,41,moves,0.008340626074408025
1,42,gold,0.008317784213228615
1,43,trillion,0.008294752240003488
1,44,q4,0.0080952852482245
1,45,com,0.008087840380570198
1,46,market analysis,0.00785021843725533
1,47,deepseek,0.007752531415076567
1,48,street,0.00770592238091928
1,49,oil,0.007686390868180863
1,50,billion,0.007546444859355931
1,51,trading day,0.007401846147551913
1,52,global,0.007131289608676041
1,53,investing com,0.007040718043763627
1,54,inflation,0.0070057326343629465
1,55,today,0.00689909293602685
1,56,hold,0.0068568165843562335
1,57,corporation,0.006838327489387356
1,58,despite,0.006713011946254232
1,59,zero,0.006707350097986342
1,60,advanced,0.0064620997468029465
1,61,published,0.0063684202288328134
1,62,wall,0.006326868748662639
1,63,report,0.0062215794958676565
1,64,companies,0.006192461307353988
1,65,according,0.0060581106295735255
1,66,nyse,0.005972928861709015
1,67,like,0.005943879793798579
1,68,close,0.005906855646008703
1,69,drops,0.0058891483170850235
1,70,wall street,0.005865113761820745
1,71,year,0.005850738316857489
1,72,trade war,0.0058171213721684226
1,73,data,0.0058098058701892006
1,74,quarter,0.005741855794029429
1,75,need know,0.005690197472801891
1,76,2024,0.005646981559283823
1,77,mixed,0.00564153572440075
1,78,need,0.005624257885000335
1,79,long,0.005601162131478447
1,80,friday,0.005585180775007647
