class,rank,token,mean_abs_shap
0,1,000 as,0.0003152567381172137
0,2,000 and,0.00026745921820535006
0,3,000,0.00026679834088905597
1,1,000 as,0.0003765514008886542
1,2,000,0.00037301628424393784
1,3,000 and,0.0003537444030957366
2,1,000 and,0.0004025141164891537
2,2,000 as,0.00040115033883289546
2,3,000,0.000358978885718524
3,1,000 as,0.0005019279522528162
3,2,000 and,0.00038139225633126376
3,3,000,0.0003681842676925817
4,1,000 as,0.00037931796613286436
4,2,000 and,0.00032087551914391794
4,3,000,0.00030357160222964526
5,1,000 as,0.0004028328800312075
5,2,000,0.00038819263590327534
5,3,000 and,0.00033944248502047384
6,1,000 as,0.0005148831542380681
6,2,000,0.00043935824332943347
6,3,000 and,0.00042987098386248557
7,1,000 as,0.0004044354467341608
7,2,000 and,0.00033914497711849434
7,3,000,0.00033435025576805037
8,1,000 as,0.0003323560393337614
8,2,000,0.0003246466996154274
8,3,000 and,0.0002919226591437466
9,1,000,0.00039515117206342666
9,2,000 as,0.0003862208742819073
9,3,000 and,0.000332947569859448
10,1,000 as,0.0003966279032921554
10,2,000,0.0003840548974191164
10,3,000 and,0.00033448529030701213
11,1,000 as,0.0003991829339194364
11,2,000,0.00033875635306311613
11,3,000 and,0.0003189162904648863
12,1,000,0.00041480274196557137
12,2,000 as,0.00041325090789273624
12,3,000 and,0.0003551474040131129
13,1,000 as,0.00035795584314640954
13,2,000,0.00031351045486011195
13,3,000 and,0.0003004212953317541
14,1,000,0.0004326116869544941
14,2,000 as,0.00042448757143962693
14,3,000 and,0.0003813879177677601
15,1,000 as,0.00040828352864918916
15,2,000,0.0004059401219869685
15,3,000 and,0.000379085174529621
16,1,000 as,0.00035759125449666277
16,2,000,0.0003472914506616261
16,3,000 and,0.00031174020766481315
17,1,000 as,0.00036279896317503463
17,2,000 and,0.00035122682977138284
17,3,000,0.0003231064206428806
18,1,000 as,0.0004328659976324773
18,2,000 and,0.00033925115121014585
18,3,000,0.0003228099780113176
19,1,000,0.0003990600409155598
19,2,000 as,0.0003779408795566809
19,3,000 and,0.00035226626178853015
20,1,000 as,0.00037999182484632914
20,2,000,0.00033350595053952627
20,3,000 and,0.0003275346379600472
21,1,000 as,0.00040063455347004304
21,2,000,0.0003692205815462623
21,3,000 and,0.00036779055055977
22,1,000 as,0.0003790282166421731
22,2,000,0.0002928083527334203
22,3,000 and,0.00029171786123687596
23,1,000 as,0.00041254799774320054
23,2,000,0.00037009006194620934
23,3,000 and,0.0003644915004362355
