class,rank,token,mean_abs_shap
0,1,2025,0.06332708558386156
0,2,conference,0.05593049565497926
0,3,2025 earnings,0.042566799156061444
0,4,q1,0.03971935060124368
0,5,interactive,0.03828684802883473
0,6,year,0.03226073148993555
0,7,key,0.027856425257839792
0,8,results,0.027782166442064063
0,9,transcript,0.027359558602761232
0,10,tariff,0.0244400818835659
0,11,earnings,0.024370826624031665
0,12,investor,0.02434917815064867
0,13,2024,0.024265062094650583
0,14,metrics,0.02390515867327327
0,15,netflix,0.02230460051948324
0,16,pm,0.02062548280696396
0,17,quarter,0.02009466033927417
0,18,etcompany,0.019907869466482986
0,19,stocks,0.019690555693979796
0,20,shares,0.019685626354501887
0,21,compared,0.01925699539849948
0,22,market,0.018226621530635295
0,23,look,0.018074219228623886
0,24,13,0.017713929732307974
0,25,nflx,0.017446042078658415
0,26,losses,0.017366125976794343
0,27,nvidia,0.01687754565995005
0,28,metrics line,0.01649209884735708
0,29,nasdaq,0.01606625078654938
0,30,futures,0.015888533403999004
0,31,pm etcompany,0.01585310710961588
0,32,tariffs,0.01481620465248322
0,33,day,0.013926409202596432
0,34,earnings transcript,0.013616169889105615
0,35,land,0.013342258377214184
0,36,q4 earnings,0.012767728490380957
0,37,earnings look,0.01272965665677077
0,38,compared estimates,0.01272965665677077
0,39,trade,0.012476543117543381
0,40,uncertainty,0.012215936250930558
0,41,netflix nflx,0.012044430237907354
0,42,estimates,0.011847829104272659
0,43,lower,0.011147162786059593
0,44,war,0.010969776590676597
0,45,500,0.010666163233214529
0,46,buy,0.010174603797864926
0,47,trade war,0.009985896808642609
0,48,business,0.009984972587847848
0,49,key metrics,0.009865854751967048
0,50,ai,0.009731713619762019
0,51,investors,0.009687139019426253
0,52,energy,0.00965706058646966
0,53,december,0.009523383939045567
0,54,00,0.008970108441683548
0,55,look key,0.008401714994756617
0,56,ahead,0.008077067386501541
0,57,street,0.007996896428200085
0,58,oil,0.007955639941298042
0,59,amid,0.00782348061228969
0,60,major,0.007791323011510994
0,61,trump,0.007726945705723665
0,62,compare,0.007551367016854485
0,63,sense,0.007368478060237628
0,64,numbers,0.007192999516582471
0,65,results conference,0.007138848475368424
0,66,trading,0.0069657993131986605
0,67,friday,0.00664946795402472
0,68,dollar,0.0065546409299668046
0,69,street estimates,0.006467748596855299
0,70,q1 2025,0.006401448717397565
0,71,trillion,0.006262531603817397
0,72,session,0.006205432179461752
0,73,drops,0.006051577171033282
0,74,ago,0.005987875056486177
0,75,stock,0.005974480251266849
0,76,economy,0.00585648931841953
0,77,law,0.005797233055200284
0,78,performed,0.005635757272000538
0,79,concerns,0.005510404180360694
0,80,sell,0.005465342929720529
0,81,falling,0.005454389685731321
0,82,stock market,0.005453057937576883
0,83,recently,0.005410097658539314
0,84,worth looking,0.005308384687169659
0,85,line numbers,0.005308384687169659
0,86,ago values,0.005308384687169659
0,87,values,0.005308384687169659
0,88,looking key,0.005308384687169659
0,89,declines,0.005128471535292509
0,90,years,0.005097298010876634
0,91,dow,0.005091227903871444
0,92,year ago,0.004969290401587531
0,93,worst,0.004876584873544103
0,94,gains,0.004801040519078406
0,95,2024 worth,0.004741469694586313
0,96,company,0.004654906937430626
0,97,growth,0.004559557470479228
0,98,announces,0.004546539839482609
0,99,stocks buy,0.0045393815265756055
0,100,optimism,0.004506413873515106
1,1,2025,0.17376991553880944
1,2,earnings,0.09231311041181538
1,3,conference,0.08633239890888005
1,4,transcript,0.08547440071830906
1,5,results,0.08391658598305059
1,6,2025 earnings,0.0810416663658795
1,7,etcompany,0.06352800343751135
1,8,q1 2025,0.05796027565946175
1,9,earnings transcript,0.05383645790876561
1,10,pm etcompany,0.0519562458810796
1,11,metrics,0.050163623217271254
1,12,pm,0.05015505402801209
1,13,interactive,0.047827384036791265
1,14,key metrics,0.046486945632350715
1,15,estimates,0.045451064516883084
1,16,q4,0.04119623825648876
1,17,q1,0.038566761675963866
1,18,worth,0.035245034942560226
1,19,key,0.031702681819633094
1,20,2025 results,0.03011570380910805
1,21,00,0.02983296401145538
1,22,stock,0.027637029349040665
1,23,2025 00,0.025263738141763054
1,24,nvidia,0.02482478032872274
1,25,shares,0.023093955501330345
1,26,quarter ended,0.02243072436975025
1,27,netflix,0.022261639631860675
1,28,december,0.022185150783880253
1,29,market,0.022117311513679815
1,30,quarter,0.021343873317886067
1,31,looking,0.020710035309821878
1,32,ai,0.02027883272185998
1,33,ended,0.019194600080432073
1,34,december 2024,0.018191760083738826
1,35,energy,0.017736444382590467
1,36,results conference,0.01770187392235628
1,37,00 pm,0.0169810330745532
1,38,year,0.016872046540482348
1,39,nflx,0.016629509881151302
1,40,street,0.016117226834132047
1,41,numbers,0.015646487550825917
1,42,compare,0.015622158188002106
